,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Pack Type | Historical/Forecast,,,,,,,,,,,,
Geography,Category,Packaging Class,Pack Type,Data Type,Unit,2017,2018,2019,2020,2021,2022,2023
Portugal,Soft Drinks Packaging,Total,Stand-Up Pouches,Retail/off-trade Unit Volume,million units,4.9,4.7,4.4,4.5,4.1,4.0,3.9
Denmark,Soft Drinks Packaging,Total,Stand-Up Pouches,Retail/off-trade Unit Volume,million units,17.1,17.5,17.7,18.0,18.2,18.7,19.1
Germany,Soft Drinks Packaging,Total,Stand-Up Pouches,Retail/off-trade Unit Volume,million units,527.9,506.1,490.2,504.2,471.9,448.0,442.1
Spain,Soft Drinks Packaging,Total,Stand-Up Pouches,Retail/off-trade Unit Volume,million units,4.5,8.2,12.9,14.9,16.1,19.0,21.0
China,Soft Drinks Packaging,Total,Stand-Up Pouches,Retail/off-trade Unit Volume,million units,673.2,643.4,636.6,558.9,543.7,525.8,518.3
Chile,Soft Drinks Packaging,Total,Stand-Up Pouches,Retail/off-trade Unit Volume,million units,180.7,192.8,196.0,201.9,249.1,327.1,377.1
Colombia,Soft Drinks Packaging,Total,Stand-Up Pouches,Retail/off-trade Unit Volume,million units,899.1,873.2,809.1,697.8,785.3,918.0,951.3
Austria,Soft Drinks Packaging,Total,Stand-Up Pouches,Retail/off-trade Unit Volume,million units,3.0,2.9,2.8,2.8,2.9,2.8,2.6
Argentina,Soft Drinks Packaging,Total,Stand-Up Pouches,Retail/off-trade Unit Volume,million units,1.3,1.5,1.0,0.9,1.3,1.7,2.0
Australia,Soft Drinks Packaging,Total,Stand-Up Pouches,Retail/off-trade Unit Volume,million units,88.6,101.0,101.4,114.0,121.3,124.8,131.6
Belgium,Soft Drinks Packaging,Total,Stand-Up Pouches,Retail/off-trade Unit Volume,million units,16.6,16.4,16.2,16.9,16.7,16.8,17.2
Switzerland,Soft Drinks Packaging,Total,Stand-Up Pouches,Retail/off-trade Unit Volume,million units,4.6,4.5,4.4,4.3,4.1,3.8,3.6
Canada,Soft Drinks Packaging,Total,Stand-Up Pouches,Retail/off-trade Unit Volume,million units,55.9,58.7,61.1,63.9,68.0,62.0,60.7
